NAME,TEAM,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Tim Tebow,NFL,0,0,0,0,0,0,0,0,0,0
Carson Wentz,PHI,3296,33,7,299,0,0,0,0,4,3
Christian Hackenberg,NFL,0,0,0,0,0,0,0,0,0,0
Cody Kessler,JAX,126,0,1,-1,0,0,0,0,0,0
Davis Webb,NYG,0,0,0,0,0,0,0,0,0,0
Phillip Walker,IND,0,0,0,0,0,0,0,0,0,0
Lamar Jackson,BAL,0,0,0,0,0,0,0,0,0,0
Taylor Heinicke,CAR,10,0,0,2,0,0,0,0,0,0
Kurt Benkert,ATL,0,0,0,0,0,0,0,0,0,0
Austin Allen,TB,0,0,0,0,0,0,0,0,0,0
Tyler Ferguson,NFL,0,0,0,0,0,0,0,0,0,0
Josh Woodrum,BAL,0,0,0,0,0,0,0,0,0,0
J.T. Barrett,NO,0,0,0,0,0,0,0,0,0,0
Austin Davis,SEA,0,0,0,-1,0,0,0,0,0,0
Aaron Rodgers,GB,1675,16,6,126,0,0,0,0,0,1
Logan Woodside,CIN,0,0,0,0,0,0,0,0,0,0
Colt McCoy,WAS,0,0,0,0,0,0,0,0,0,0
Cooper Rush,DAL,2,0,0,13,0,0,0,0,0,0
Brock Osweiler,MIA,1088,5,5,64,1,0,0,0,2,1
Brian Hoyer,NE,1287,4,4,4,1,0,0,0,0,1
Marcus Mariota,TEN,3232,13,15,312,5,0,0,0,0,1
Mitchell Trubisky,CHI,2193,7,7,248,2,0,0,0,1,3
Colin Kaepernick,NFL,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,TEN,1086,6,6,82,0,0,0,0,1,2
C.J. Beathard,SF,1430,4,6,136,3,0,0,0,0,2
Derek Carr,OAK,3496,22,13,66,0,0,0,0,2,3
Nathan Peterman,BUF,252,2,5,23,0,0,0,0,0,0
Patrick Mahomes,KC,284,0,1,10,0,0,0,0,0,0
Tim Boyle,GB,0,0,0,0,0,0,0,0,0,0
Sam Darnold,NYJ,0,0,0,0,0,0,0,0,0,0
