NAME,TEAM,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Jonnu Smith,TEN,0,0,0,0,0,157,2,0,0,0
Scott Orndoff,JAX,0,0,0,0,0,0,0,0,0,0
Eric Tomlinson,NYJ,0,0,0,0,0,121,1,0,0,0
Will Tye,NE,0,0,0,0,0,38,0,0,0,0
Lee Smith,OAK,0,0,0,0,0,76,0,0,0,0
Maxx Williams,BAL,0,0,0,6,0,86,1,0,0,1
Jacob Hollister,NE,0,0,0,5,0,42,0,0,0,0
Shane Wimann,NE,0,0,0,0,0,0,0,0,0,0
Blake Jarwin,DAL,0,0,0,0,0,0,0,0,0,0
Jordan Akins,HOU,0,0,0,0,0,0,0,0,0,0
John Phillips,NFL,0,0,0,0,0,0,0,0,0,0
Levine Toilolo,DET,0,0,0,0,0,122,1,1,0,0
Ben Koyack,JAX,0,0,0,0,0,38,0,0,1,0
Henry Krieger-Coble,LA,0,0,0,0,0,0,0,0,0,0
Jaylen Samuels,PIT,0,0,0,0,0,0,0,0,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,0,0
Jake Butt,DEN,0,0,0,0,0,0,0,0,0,0
Garrett Celek,SF,0,0,0,0,0,336,4,0,0,0
David Wells,DAL,0,0,0,0,0,0,0,0,0,0
Chris Herndon,NYJ,0,0,0,0,0,0,0,0,0,0
Garrett Dickerson,NYG,0,0,0,0,0,0,0,0,0,0
George Kittle,SF,0,0,0,0,0,515,2,0,0,0
Logan Thomas,BUF,0,0,0,0,0,67,1,0,0,0
Garrett Griffin,NO,0,0,0,0,0,4,0,0,0,0
Logan Paulsen,ATL,0,0,0,0,0,0,0,0,0,0
David Grinnage,JAX,0,0,0,0,0,0,0,0,0,0
Jordan Reed,WAS,0,0,0,0,0,211,2,0,0,0
Alan Cross,TB,0,0,0,0,0,58,0,0,0,0
Nate Wozniak,NO,0,0,0,0,0,0,0,0,0,0
Ryan O'Malley,NYG,0,0,0,0,0,0,0,0,0,0
Marcedes Lewis,GB,0,0,0,0,0,318,5,0,1,0
Jeremy Sprinkle,WAS,0,0,0,0,0,13,1,0,0,0
Hunter Henry,LAC,0,0,0,0,0,579,4,0,0,0
Trey Burton,CHI,0,0,0,0,0,248,5,0,1,0
Jermaine Gresham,ARI,0,0,0,0,0,322,2,0,0,0
Matt LaCosse,DEN,0,0,0,0,0,0,0,0,0,0
Kyle Carter,NYG,0,0,0,0,0,0,0,0,0,0
Tyler Higbee,LA,0,0,0,0,0,295,1,0,0,0
Derek Carrier,OAK,0,0,0,0,0,71,0,0,0,0
James O'Shaughnessy,JAX,0,0,0,0,0,149,1,0,0,0
Pharoah McKever,PIT,0,0,0,0,0,0,0,0,0,0
Erik Swoope,IND,0,0,0,0,0,0,0,0,0,0
Stephen Anderson,HOU,0,0,0,0,0,342,1,0,0,0
Vance McDonald,PIT,0,0,0,0,0,188,1,0,0,0
Johnny Mundt,LA,0,0,0,0,0,0,0,0,0,0
Manasseh Garner,WAS,0,0,0,0,0,0,0,0,0,0
Brian Parker,DEN,0,0,0,0,0,0,0,0,0,0
Temarrick Hemingway,LA,0,0,0,0,0,0,0,0,0,0
Blake Bell,MIN,0,0,0,0,0,19,0,0,1,0
Coby Fleener,NFL,0,0,0,0,0,295,2,0,0,0
Matt Flanagan,WAS,0,0,0,0,0,0,0,0,0,0
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,0,0
