name,team,pass_yds,pass_td,int,rush_yds,rush_td,rec_yds,rec_td,fum_td,two_pt,fum_lost
Tyler Lockett,SEA,0,0,0,58,0,555,2,0,0,0
Deonte Thompson,DAL,0,0,0,-5,0,555,2,0,0,0
Kendrick Bourne,SF,0,0,0,0,0,257,0,0,0,0
Martavis Bryant,OAK,0,0,0,22,0,603,3,0,1,0
Golden Tate,DET,0,0,0,22,0,1003,5,0,1,1
Trey Quinn,WAS,0,0,0,0,0,0,0,0,0,0
Artavis Scott,LAC,0,0,0,0,0,0,0,0,0,0
Jonah Trinnaman,NYJ,0,0,0,0,0,0,0,0,0,0
Jawill Davis,NYG,0,0,0,0,0,0,0,0,0,0
Andy Jones,DET,0,0,0,0,0,0,0,0,0,0
D.J. Foster,ARI,0,0,0,19,0,133,0,0,0,0
DeAndrew White,HOU,0,0,0,0,0,24,0,0,0,0
Richie James,SF,0,0,0,0,0,0,0,0,0,0
Brandon Coleman,NO,0,0,0,0,0,364,3,0,0,2
Zach Pascal,IND,0,0,0,0,0,0,0,0,0,0
Tavon Austin,DAL,0,0,0,270,1,47,0,0,0,4
Nelson Spruce,LAC,0,0,0,0,0,0,0,0,0,0
Jester Weah,HOU,0,0,0,0,0,0,0,0,0,0
Odell Beckham,NYG,0,0,0,8,0,302,3,0,0,0
Josh Doctson,WAS,0,0,0,-14,0,502,6,0,0,0
Vyncint Smith,HOU,0,0,0,0,0,0,0,0,0,0
David Moore,SEA,0,0,0,0,0,0,0,0,0,0
Equanimeous St. Brown,GB,0,0,0,0,0,0,0,0,0,0
Pierre Garcon,SF,0,0,0,0,0,500,0,0,0,0
Quadree Henderson,PIT,0,0,0,0,0,0,0,0,0,0
Quan Bray,BUF,0,0,0,0,0,39,0,0,0,0
Chad Beebe,MIN,0,0,0,0,0,0,0,0,0,0
Mike Thomas,LA,0,0,0,0,0,93,0,0,0,0
Griff Whalen,OAK,0,0,0,0,0,23,0,0,0,0
Tanner Gentry,CHI,0,0,0,0,0,35,0,0,0,0
Laquon Treadwell,MIN,0,0,0,0,0,200,0,0,0,0
Malcolm Lewis,MIA,0,0,0,0,0,0,0,0,0,0
Max McCaffrey,SF,0,0,0,0,0,4,0,0,0,0
Tevaun Smith,JAX IR,0,0,0,0,0,0,0,0,0,0
Marquise Goodwin,SF,0,0,0,44,0,962,2,0,0,0
Malcolm Mitchell,NE,0,0,0,0,0,0,0,0,0,0
Jordan Smallwood,KC,0,0,0,0,0,0,0,0,0,0
Byron Pringle,KC,0,0,0,0,0,0,0,0,0,0
Breshad Perriman,BAL,0,0,0,0,0,77,0,0,0,0
Anthony Miller,CHI,0,0,0,0,0,0,0,0,0,0
Jermaine Kearse,NYJ,0,0,0,0,0,810,5,0,0,0
Phillip Dorsett,NE,0,0,0,7,0,194,0,0,0,0
Sammy Watkins,KC,0,0,0,0,0,593,8,0,0,0
Taywan Taylor,TEN,0,0,0,43,0,231,1,0,0,0
Davante Adams,GB,0,0,0,0,0,885,10,0,0,0
LaQuvionte Gonzalez,LA,0,0,0,0,0,0,0,0,0,0
Cam Phillips,BUF,0,0,0,0,0,0,0,0,0,0
