NAME,SITE,SACK,INTERCEPTIONS,FUM_REC,SAFETIES,TD,TWO_PT_RETURN,RET_TD,PTS_ALLOW
Tennessee Titans,cbssports.com,39.0,15.0,13.0,0.0,4.0,0,0,325.0
Minnesota Vikings,cbssports.com,39.0,15.0,11.0,0.0,4.0,0,0,292.0
Baltimore Ravens,cbssports.com,39.0,19.0,15.0,0.0,5.0,0,0,288.0
Philadelphia Eagles,cbssports.com,32.0,16.0,17.0,0.0,6.0,0,0,282.0
Los Angeles Rams,cbssports.com,52.0,15.0,14.0,0.0,4.0,0,0,323.0
Los Angeles Chargers,cbssports.com,45.0,15.0,14.0,0.0,5.0,0,0,275.0
Pittsburgh Steelers,cbssports.com,49.0,16.0,11.0,0.0,5.0,0,0,307.0
Denver Broncos,cbssports.com,42.0,16.0,11.0,0.0,5.0,0,0,337.0
Dallas Cowboys,cbssports.com,36.0,12.0,16.0,0.0,4.0,0,0,318.0
Atlanta Falcons,cbssports.com,35.0,12.0,15.0,0.0,4.0,0,0,326.0
New England Patriots,cbssports.com,41.0,14.0,10.0,0.0,4.0,0,0,278.0
Seattle Seahawks,cbssports.com,34.0,13.0,14.0,0.0,4.0,0,0,317.0
Cincinnati Bengals,cbssports.com,36.0,16.0,7.0,0.0,3.0,0,0,333.0
Buffalo Bills,cbssports.com,32.0,15.0,10.0,0.0,3.0,0,0,322.0
Carolina Panthers,cbssports.com,49.0,12.0,16.0,0.0,4.0,0,0,340.0
Washington Redskins,cbssports.com,41.0,16.0,11.0,0.0,5.0,0,0,370.0
Green Bay Packers,cbssports.com,47.0,12.0,14.0,1.0,4.0,0,0,337.0
Chicago Bears,cbssports.com,47.0,12.0,17.0,0.0,3.0,0,0,346.0
New Orleans Saints,cbssports.com,33.0,18.0,11.0,0.0,5.0,0,0,340.0
Kansas City Chiefs,cbssports.com,25.0,17.0,15.0,0.0,5.0,0,0,339.0
Houston Texans,cbssports.com,41.0,15.0,11.0,0.0,4.0,0,0,348.0
Arizona Cardinals,cbssports.com,37.0,14.0,13.0,0.0,4.0,0,0,348.0
Oakland Raiders,cbssports.com,33.0,12.0,14.0,0.0,4.0,0,0,390.0
Detroit Lions,cbssports.com,33.0,13.0,13.0,0.0,4.0,0,0,347.0
Indianapolis Colts,cbssports.com,28.0,14.0,13.0,0.0,4.0,0,0,394.0
Miami Dolphins,cbssports.com,34.0,13.0,11.0,0.0,4.0,0,0,343.0
San Francisco 49ers,cbssports.com,31.0,13.0,12.0,0.0,4.0,0,0,375.0
Tampa Bay Buccaneers,cbssports.com,25.0,13.0,16.0,0.0,3.0,0,0,359.0
New York Jets,cbssports.com,33.0,14.0,12.0,0.0,2.0,0,0,351.0
New York Giants,cbssports.com,29.0,14.0,12.0,0.0,2.0,0,0,360.0
Cleveland Browns,cbssports.com,32.0,13.0,9.0,0.0,2.0,0,0,375.0
