NAME,TEAM,SITE,PAT,TEENS,TWENTIES,THIRTIES,FORTIES,FIFTIES
Greg Zuerlein,LAR,cbssports.com,43.1,0,0,34.2,0,0
Harrison Butker,KC,cbssports.com,42.4,0,0,34.5,0,0
Robbie Gould,SF,cbssports.com,37.9,0,0,35.8,0,0
Matt Bryant,ATL,cbssports.com,37.8,0,0,31.7,0,0
Jake Elliott,PHI,cbssports.com,42.2,0,0,31.1,0,0
Justin Tucker,BAL,cbssports.com,38.3,0,0,31.7,0,0
Wil Lutz,NO,cbssports.com,44.2,0,0,29.1,0,0
Chris Boswell,PIT,cbssports.com,40.1,0,0,31.7,0,0
Kai Forbath,MIN,cbssports.com,35.3,0,0,30.4,0,0
Matt Prater,DET,cbssports.com,36.8,0,0,28.2,0,0
Graham Gano,CAR,cbssports.com,37.3,0,0,28.8,0,0
Adam Vinatieri,IND,cbssports.com,34.1,0,0,26.9,0,0
Dan Bailey,DAL,cbssports.com,39.7,0,0,25.4,0,0
Josh Lambo,JAC,cbssports.com,36.4,0,0,27.7,0,0
Ryan Succop,TEN,cbssports.com,35.1,0,0,27.6,0,0
Brandon McManus,DEN,cbssports.com,33.5,0,0,26.6,0,0
Ka'imi Fairbairn,HOU,cbssports.com,34.8,0,0,26.1,0,0
Phil Dawson,ARI,cbssports.com,30.2,0,0,26.3,0,0
Mason Crosby,GB,cbssports.com,43.8,0,0,22.5,0,0
Sebastian Janikowski,SEA,cbssports.com,35.4,0,0,24.1,0,0
Dustin Hopkins,WAS,cbssports.com,35.1,0,0,24.8,0,0
Caleb Sturgis,LAC,cbssports.com,36.0,0,0,22.8,0,0
Giorgio Tavecchio,OAK,cbssports.com,34.4,0,0,22.4,0,0
Stephen Hauschka,BUF,cbssports.com,26.8,0,0,23.1,0,0
Patrick Murray,TB,cbssports.com,29.3,0,0,22.5,0,0
Jason Sanders,MIA,cbssports.com,29.8,0,0,21.3,0,0
Aldrick Rosas,NYG,cbssports.com,27.8,0,0,19.5,0,0
Zane Gonzalez,CLE,cbssports.com,29.8,0,0,18.5,0,0
Cairo Santos,NYJ,cbssports.com,29.7,0,0,19.0,0,0
Randy Bullock,CIN,cbssports.com,28.0,0,0,19.0,0,0
Cody Parkey,CHI,cbssports.com,28.8,0,0,18.2,0,0
