NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Todd Gurley,LAR,cbssports.com,RB,0,0,0,1392.0,12.3,694.0,4.8,0,0,2.5
Le'Veon Bell,PIT,cbssports.com,RB,0,0,0,1350.0,10.2,728.0,2.4,0,0,3.8
Alvin Kamara,NO,cbssports.com,RB,0,0,0,933.0,8.9,732.0,5.1,0,0,1.4
Ezekiel Elliott,DAL,cbssports.com,RB,0,0,0,1350.0,7.8,389.0,2.1,0,0,2.0
Kareem Hunt,KC,cbssports.com,RB,0,0,0,1118.0,8.7,402.0,2.9,0,0,2.6
David Johnson,ARI,cbssports.com,RB,0,0,0,818.0,6.1,883.0,2.6,0,0,5.4
Saquon Barkley,NYG,cbssports.com,RB,0,0,0,1125.0,7.8,426.0,1.6,0,0,1.7
Melvin Gordon,LAC,cbssports.com,RB,0,0,0,1030.0,7.7,406.0,2.7,0,0,1.0
Leonard Fournette,JAC,cbssports.com,RB,0,0,0,1153.0,8.8,290.0,0.9,0,0,1.3
Jerick McKinnon,SF,cbssports.com,RB,0,0,0,885.0,6.9,552.0,2.1,0,0,3.0
Devonta Freeman,ATL,cbssports.com,RB,0,0,0,961.0,7.8,396.0,2.1,0,0,2.3
Dalvin Cook,MIN,cbssports.com,RB,0,0,0,1117.0,7.1,310.0,1.0,0,0,2.4
Christian McCaffrey,CAR,cbssports.com,RB,0,0,0,613.0,3.5,674.0,5.6,0,0,1.8
LeSean McCoy,BUF,cbssports.com,RB,0,0,0,829.0,4.3,426.0,1.7,0,0,1.3
Tevin Coleman,ATL,cbssports.com,RB,0,0,0,698.0,4.7,354.0,3.2,0,0,1.0
Jordan Howard,CHI,cbssports.com,RB,0,0,0,880.0,6.6,188.0,0.5,0,0,1.3
Jay Ajayi,PHI,cbssports.com,RB,0,0,0,995.0,4.9,166.0,0.7,0,0,4.0
Kenyan Drake,MIA,cbssports.com,RB,0,0,0,771.0,5.7,295.0,0.9,0,0,2.4
Lamar Miller,HOU,cbssports.com,RB,0,0,0,798.0,3.2,304.0,2.4,0,0,1.5
Derrick Henry,TEN,cbssports.com,RB,0,0,0,832.0,5.5,186.0,0.9,0,0,1.2
Joe Mixon,CIN,cbssports.com,RB,0,0,0,710.0,6.0,324.0,0.6,0,0,2.9
Rex Burkhead,NE,cbssports.com,RB,0,0,0,580.0,6.6,246.0,2.4,0,0,1.0
Alex Collins,BAL,cbssports.com,RB,0,0,0,858.0,5.5,184.0,0.7,0,0,4.1
Royce Freeman,DEN,cbssports.com,RB,0,0,0,794.0,4.6,237.0,0.9,0,0,2.1
Sony Michel,NE,cbssports.com,RB,0,0,0,651.0,5.8,253.0,1.2,0,0,1.2
Chris Thompson,WAS,cbssports.com,RB,0,0,0,325.0,2.4,619.0,4.4,0,0,3.5
Mark Ingram,NO,cbssports.com,RB,0,0,0,711.0,5.3,254.0,0.6,0,0,3.0
Dion Lewis,TEN,cbssports.com,RB,0,0,0,745.0,3.9,188.0,1.5,0,0,2.2
James White,NE,cbssports.com,RB,0,0,0,375.0,3.0,440.0,3.7,0,0,1.0
Rashaad Penny,SEA,cbssports.com,RB,0,0,0,626.0,3.7,210.0,1.0,0,0,1.3
Matt Breida,SF,cbssports.com,RB,0,0,0,657.0,4.7,118.0,0.9,0,0,1.6
Marshawn Lynch,OAK,cbssports.com,RB,0,0,0,643.0,5.2,73.0,0.3,0,0,1.6
Tarik Cohen,CHI,cbssports.com,RB,0,0,0,364.0,2.3,492.0,1.5,0,0,2.7
Chris Carson,SEA,cbssports.com,RB,0,0,0,647.0,3.2,126.0,1.2,0,0,1.2
Isaiah Crowell,NYJ,cbssports.com,RB,0,0,0,628.0,3.0,190.0,0.5,0,0,1.5
Derrius Guice,WAS,cbssports.com,RB,0,0,0,548.0,5.1,138.0,0.5,0,0,2.3
Corey Clement,PHI,cbssports.com,RB,0,0,0,340.0,4.6,244.0,2.2,0,0,1.5
D'Onta Foreman,HOU,cbssports.com,RB,0,0,0,623.0,4.3,91.0,0.4,0,0,1.9
Marlon Mack,IND,cbssports.com,RB,0,0,0,468.0,4.2,189.0,1.3,0,0,1.0
Austin Ekeler,LAC,cbssports.com,RB,0,0,0,400.0,3.0,297.0,2.9,0,0,5.0
Devontae Booker,DEN,cbssports.com,RB,0,0,0,522.0,2.8,286.0,0.5,0,0,2.4
Kerryon Johnson,DET,cbssports.com,RB,0,0,0,471.0,4.0,219.0,0.9,0,0,1.8
Ronald Jones,TB,cbssports.com,RB,0,0,0,548.0,3.3,183.0,0.6,0,0,2.0
Ty Montgomery,GB,cbssports.com,RB,0,0,0,360.0,3.1,328.0,1.1,0,0,1.0
Jamaal Williams,GB,cbssports.com,RB,0,0,0,454.0,2.6,217.0,1.9,0,0,1.0
Kenneth Dixon,BAL,cbssports.com,RB,0,0,0,532.0,3.0,133.0,1.1,0,0,0.9
Carlos Hyde,CLE,cbssports.com,RB,0,0,0,544.0,2.9,182.0,0.5,0,0,3.3
Duke Johnson,CLE,cbssports.com,RB,0,0,0,245.0,1.9,456.0,1.7,0,0,2.5
Bilal Powell,NYJ,cbssports.com,RB,0,0,0,501.0,2.7,177.0,0.4,0,0,1.5
Aaron Jones,GB,cbssports.com,RB,0,0,0,494.0,4.2,62.0,0.5,0,0,0.9
Spencer Ware,KC,cbssports.com,RB,0,0,0,470.0,2.6,185.0,1.2,0,0,2.3
Nick Chubb,CLE,cbssports.com,RB,0,0,0,492.0,3.4,154.0,0.5,0,0,2.1
Doug Martin,OAK,cbssports.com,RB,0,0,0,508.0,4.2,42.0,0.2,0,0,1.9
C.J. Anderson,CAR,cbssports.com,RB,0,0,0,508.0,2.8,83.0,0.5,0,0,1.1
Latavius Murray,MIN,cbssports.com,RB,0,0,0,485.0,3.7,63.0,0.3,0,0,1.3
Peyton Barber,TB,cbssports.com,RB,0,0,0,478.0,3.6,66.0,0.3,0,0,1.6
Nyheim Hines,IND,cbssports.com,RB,0,0,0,321.0,2.5,248.0,1.1,0,0,1.3
Frank Gore,MIA,cbssports.com,RB,0,0,0,390.0,1.4,215.0,1.6,0,0,1.3
Darren Sproles,PHI,cbssports.com,RB,0,0,0,302.0,1.7,298.0,1.4,0,0,2.9
Theo Riddick,DET,cbssports.com,RB,0,0,0,161.0,1.4,345.0,2.0,0,0,1.5
De'Angelo Sr. Henderson,DEN,cbssports.com,RB,0,0,0,377.0,2.1,99.0,1.8,0,0,2.0
Jalen Richard,OAK,cbssports.com,RB,0,0,0,317.0,2.3,227.0,1.0,0,0,3.1
Corey Grant,JAC,cbssports.com,RB,0,0,0,419.0,2.8,49.0,0.3,0,0,1.7
Travaris Cadet,BUF,cbssports.com,RB,0,0,0,310.0,1.9,179.0,1.0,0,0,1.0
