NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Rob Gronkowski,NE,cbssports.com,TE,0,0,0,0,0,1082.0,7.5,0,0,0.3
Travis Kelce,KC,cbssports.com,TE,0,0,0,0,0,1020.0,7.1,0,0,0.2
Zach Ertz,PHI,cbssports.com,TE,0,0,0,0,0,813.0,6.4,0,0,1.0
Delanie Walker,TEN,cbssports.com,TE,0,0,0,0,0,854.0,4.3,0,0,2.2
Evan Engram,NYG,cbssports.com,TE,0,0,0,0,0,741.0,5.2,0,0,0.3
Jimmy Graham,GB,cbssports.com,TE,0,0,0,0,0,604.0,7.7,0,0,1.0
Kyle Rudolph,MIN,cbssports.com,TE,0,0,0,0,0,605.0,6.9,0,0,0.3
Greg Olsen,CAR,cbssports.com,TE,0,0,0,0,0,749.0,4.1,0,0,0.3
Jordan Reed,WAS,cbssports.com,TE,0,0,0,0,0,643.0,4.4,0,0,0.7
Jared Cook,OAK,cbssports.com,TE,0,0,0,0,0,748.0,2.9,0,0,1.3
Ricky Seals-Jones,ARI,cbssports.com,TE,0,0,0,0,0,556.0,5.1,0,0,0.3
Benjamin Watson,NO,cbssports.com,TE,0,0,0,0,0,551.0,4.1,0,0,0.3
O.J. Howard,TB,cbssports.com,TE,0,0,0,0,0,559.0,4.9,0,0,3.3
Tyler Eifert,CIN,cbssports.com,TE,0,0,0,0,0,418.0,5.9,0,0,0.4
Charles Clay,BUF,cbssports.com,TE,0,0,0,0,0,592.0,2.6,0,0,0.2
Vance McDonald,PIT,cbssports.com,TE,0,0,0,0,0,588.0,2.8,0,0,0.2
Eric Ebron,IND,cbssports.com,TE,0,0,0,0,0,533.0,3.1,0,0,0.8
Ed Dickson,SEA,cbssports.com,TE,0,0,0,0,0,544.0,2.7,0,0,0.3
George Kittle,SF,cbssports.com,TE,0,0,0,0,0,532.0,2.8,0,0,0.4
David Njoku,CLE,cbssports.com,TE,0,0,0,0,0,453.0,4.3,0,0,0.4
Austin Seferian-Jenkins,JAC,cbssports.com,TE,0,0,0,0,0,499.0,3.4,0,0,1.1
Jack Doyle,IND,cbssports.com,TE,0,0,0,0,0,514.0,3.4,0,0,2.1
Garrett Celek,SF,cbssports.com,TE,0,0,0,0,0,406.0,4.7,0,0,0.5
Vernon Davis,WAS,cbssports.com,TE,0,0,0,0,0,593.0,2.2,0,0,2.8
Trey Burton,CHI,cbssports.com,TE,0,0,0,0,0,465.0,3.3,0,0,0.3
Cameron Brate,TB,cbssports.com,TE,0,0,0,0,0,459.0,3.4,0,0,0.4
Austin Hooper,ATL,cbssports.com,TE,0,0,0,0,0,465.0,3.0,0,0,0.3
Virgil Green,LAC,cbssports.com,TE,0,0,0,0,0,449.0,2.6,0,0,0.3
Blake Jarwin,DAL,cbssports.com,TE,0,0,0,0,0,385.0,3.5,0,0,0.5
Luke Willson,DET,cbssports.com,TE,0,0,0,0,0,348.0,3.9,0,0,0.4
Mike Gesicki,MIA,cbssports.com,TE,0,0,0,0,0,415.0,2.7,0,0,0.5
Jesse James,PIT,cbssports.com,TE,0,0,0,0,0,373.0,2.3,0,0,0.2
Tyler Higbee,LAR,cbssports.com,TE,0,0,0,0,0,340.0,2.6,0,0,0.5
Hayden Hurst,BAL,cbssports.com,TE,0,0,0,0,0,346.0,2.4,0,0,0.3
Jeff Heuerman,DEN,cbssports.com,TE,0,0,0,0,0,335.0,2.6,0,0,0.4
Jonnu Smith,TEN,cbssports.com,TE,0,0,0,0,0,286.0,3.3,0,0,0.3
Ryan Griffin,HOU,cbssports.com,TE,0,0,0,0,0,371.0,1.6,0,0,1.4
Austin Traylor,DEN,cbssports.com,TE,0,0,0,0,0,320.0,1.9,0,0,0.5
Marcedes Lewis,GB,cbssports.com,TE,0,0,0,0,0,202.0,3.8,0,0,0.3
Nick O'Leary,BUF,cbssports.com,TE,0,0,0,0,0,336.0,1.5,0,0,1.4
Stephen Anderson,HOU,cbssports.com,TE,0,0,0,0,0,305.0,1.6,0,0,0.4
Jermaine Gresham,ARI,cbssports.com,TE,0,0,0,0,0,307.0,1.3,0,0,0.3
MarQueis Gray,MIA,cbssports.com,TE,0,0,0,0,0,277.0,1.5,0,0,0.3
Tyler Kroft,CIN,cbssports.com,TE,0,0,0,0,0,229.0,2.4,0,0,0.4
Rhett Ellison,NYG,cbssports.com,TE,0,0,0,0,0,218.0,1.7,0,0,0.3
Jake Butt,DEN,cbssports.com,TE,0,0,0,0,0,252.0,1.7,0,0,0.7
Josh Hill,NO,cbssports.com,TE,0,0,0,0,0,240.0,1.6,0,0,2.8
