NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Antonio Brown,PIT,cbssports.com,WR,0,0,0,0,0,1538.0,9.6,0,0,0.2
DeAndre Hopkins,HOU,cbssports.com,WR,0,0,0,0,0,1288.0,9.0,0,0,1.1
Julio Jones,ATL,cbssports.com,WR,0,0,0,0,0,1387.0,5.4,0,0,0.3
Keenan Allen,LAC,cbssports.com,WR,0,0,0,0,0,1353.0,5.9,0,0,0.3
Doug Baldwin,SEA,cbssports.com,WR,0,0,0,0,0,1158.0,7.8,0,0,0.3
Davante Adams,GB,cbssports.com,WR,0,0,0,0,0,1017.0,9.8,0,0,0.4
Odell Beckham,NYG,cbssports.com,WR,0,0,0,0,0,1170.0,6.8,0,0,0.9
Michael Thomas,NO,cbssports.com,WR,0,0,0,0,0,1199.0,6.3,0,0,0.3
A.J. Green,CIN,cbssports.com,WR,0,0,0,0,0,1229.0,6.2,0,0,2.3
Stefon Diggs,MIN,cbssports.com,WR,0,0,0,0,0,1057.0,7.7,0,0,0.3
Amari Cooper,OAK,cbssports.com,WR,0,0,0,0,0,1019.0,7.3,0,0,0.4
T.Y. Hilton,IND,cbssports.com,WR,0,0,0,0,0,1041.0,6.7,0,0,1.3
Tyreek Hill,KC,cbssports.com,WR,0,0,0,0,0,969.0,6.2,0,0,0.5
Mike Evans,TB,cbssports.com,WR,0,0,0,0,0,1126.0,4.9,0,0,0.4
Demaryius Thomas,DEN,cbssports.com,WR,0,0,0,0,0,1104.0,5.6,0,0,1.8
Adam Thielen,MIN,cbssports.com,WR,0,0,0,0,0,1116.0,4.7,0,0,2.6
JuJu Smith-Schuster,PIT,cbssports.com,WR,0,0,0,0,0,902.0,7.0,0,0,0.2
Josh Gordon,CLE,cbssports.com,WR,0,0,0,0,0,1100.0,3.9,0,0,0.6
Golden Tate,DET,cbssports.com,WR,0,0,0,0,0,998.0,4.8,0,0,1.6
Alshon Jeffery,PHI,cbssports.com,WR,0,0,0,0,0,803.0,7.4,0,0,0.4
Marvin Jones,DET,cbssports.com,WR,0,0,0,0,0,844.0,6.7,0,0,0.4
Jarvis Landry,CLE,cbssports.com,WR,0,0,0,0,0,989.0,4.3,0,0,3.5
Michael Crabtree,BAL,cbssports.com,WR,0,0,0,0,0,767.0,6.8,0,0,0.2
Pierre Garcon,SF,cbssports.com,WR,0,0,0,0,0,974.0,3.3,0,0,0.4
Rishard Matthews,TEN,cbssports.com,WR,0,0,0,0,0,810.0,5.9,0,0,0.4
Emmanuel Sanders,DEN,cbssports.com,WR,0,0,0,0,0,930.0,3.8,0,0,0.4
Sammy Watkins,KC,cbssports.com,WR,0,0,0,0,0,750.0,6.8,0,0,0.2
Randall Cobb,GB,cbssports.com,WR,0,0,0,0,0,818.0,5.0,0,0,0.3
Robert Woods,LAR,cbssports.com,WR,0,0,0,0,0,876.0,4.8,0,0,1.4
Cooper Kupp,LAR,cbssports.com,WR,0,0,0,0,0,824.0,5.3,0,0,1.3
Devin Funchess,CAR,cbssports.com,WR,0,0,0,0,0,725.0,6.5,0,0,0.3
Kenny Golladay,DET,cbssports.com,WR,0,0,0,0,0,849.0,3.9,0,0,0.4
Marquise Goodwin,SF,cbssports.com,WR,0,0,0,0,0,871.0,3.3,0,0,0.4
Allen Robinson,CHI,cbssports.com,WR,0,0,0,0,0,842.0,3.8,0,0,0.3
Tyrell Williams,LAC,cbssports.com,WR,0,0,0,0,0,800.0,4.4,0,0,1.2
Chris Hogan,NE,cbssports.com,WR,0,0,0,0,0,686.0,5.7,0,0,0.4
Robby Anderson,NYJ,cbssports.com,WR,0,0,0,0,0,694.0,5.3,0,0,0.4
Brandin Cooks,LAR,cbssports.com,WR,0,0,0,0,0,700.0,4.9,0,0,0.5
Larry Fitzgerald,ARI,cbssports.com,WR,0,0,0,0,0,817.0,3.2,0,0,1.6
Calvin Ridley,ATL,cbssports.com,WR,0,0,0,0,0,749.0,4.1,0,0,0.5
Mike Wallace,PHI,cbssports.com,WR,0,0,0,0,0,700.0,4.7,0,0,0.4
Nelson Agholor,PHI,cbssports.com,WR,0,0,0,0,0,668.0,5.0,0,0,0.4
Jordy Nelson,OAK,cbssports.com,WR,0,0,0,0,0,662.0,5.2,0,0,0.7
Corey Davis,TEN,cbssports.com,WR,0,0,0,0,0,777.0,4.1,0,0,2.4
Jaron Brown,SEA,cbssports.com,WR,0,0,0,0,0,605.0,6.2,0,0,0.3
Marqise Lee,JAC,cbssports.com,WR,0,0,0,0,0,746.0,3.7,0,0,0.4
Julian Edelman,NE,cbssports.com,WR,0,0,0,0,0,750.0,3.7,0,0,1.4
Quincy Enunwa,NYJ,cbssports.com,WR,0,0,0,0,0,692.0,4.1,0,0,0.4
Josh Doctson,WAS,cbssports.com,WR,0,0,0,0,0,652.0,4.9,0,0,0.5
Jordan Matthews,NE,cbssports.com,WR,0,0,0,0,0,754.0,3.4,0,0,1.7
Paul Richardson,WAS,cbssports.com,WR,0,0,0,0,0,714.0,3.8,0,0,0.5
Sterling Shepard,NYG,cbssports.com,WR,0,0,0,0,0,758.0,2.8,0,0,0.3
Mohamed Sanu,ATL,cbssports.com,WR,0,0,0,0,0,675.0,4.1,0,0,0.4
Ted Ginn,NO,cbssports.com,WR,0,0,0,0,0,684.0,3.8,0,0,0.8
Allen Hurns,DAL,cbssports.com,WR,0,0,0,0,0,689.0,3.6,0,0,0.3
Donte Moncrief,JAC,cbssports.com,WR,0,0,0,0,0,508.0,6.6,0,0,0.3
Will Fuller,HOU,cbssports.com,WR,0,0,0,0,0,599.0,5.1,0,0,0.4
DeVante Parker,MIA,cbssports.com,WR,0,0,0,0,0,734.0,2.7,0,0,0.3
Kenny Stills,MIA,cbssports.com,WR,0,0,0,0,0,626.0,4.5,0,0,2.2
Travis Benjamin,LAC,cbssports.com,WR,0,0,0,0,0,633.0,3.6,0,0,1.3
Tyler Lockett,SEA,cbssports.com,WR,0,0,0,0,0,652.0,2.4,0,0,0.3
Martavis Bryant,OAK,cbssports.com,WR,0,0,0,0,0,669.0,3.0,0,0,0.4
DeSean Jackson,TB,cbssports.com,WR,0,0,0,0,0,711.0,2.2,0,0,0.4
Jamison Crowder,WAS,cbssports.com,WR,0,0,0,0,0,689.0,3.0,0,0,3.9
Jermaine Kearse,NYJ,cbssports.com,WR,0,0,0,0,0,608.0,3.2,0,0,0.4
Kelvin Benjamin,BUF,cbssports.com,WR,0,0,0,0,0,602.0,3.3,0,0,0.4
DJ Moore,CAR,cbssports.com,WR,0,0,0,0,0,560.0,3.5,0,0,0.5
Terrance Williams,DAL,cbssports.com,WR,0,0,0,0,0,581.0,3.2,0,0,0.4
Dede Westbrook,JAC,cbssports.com,WR,0,0,0,0,0,579.0,3.0,0,0,0.3
J.J. Nelson,ARI,cbssports.com,WR,0,0,0,0,0,581.0,2.6,0,0,1.6
Ryan Grant,IND,cbssports.com,WR,0,0,0,0,0,520.0,3.7,0,0,0.3
Terrelle Pryor,NYJ,cbssports.com,WR,0,0,0,0,0,574.0,2.4,0,0,0.4
Malcolm Mitchell,NE,cbssports.com,WR,0,0,0,0,0,496.0,3.7,0,0,0.3
Chester Rogers,IND,cbssports.com,WR,0,0,0,0,0,596.0,2.2,0,0,0.3
Brandon LaFell,CIN,cbssports.com,WR,0,0,0,0,0,574.0,2.6,0,0,0.4
Cameron Meredith,NO,cbssports.com,WR,0,0,0,0,0,587.0,3.2,0,0,2.8
Danny Amendola,MIA,cbssports.com,WR,0,0,0,0,0,573.0,2.5,0,0,0.5
Brice Butler,ARI,cbssports.com,WR,0,0,0,0,0,511.0,3.1,0,0,0.3
Geronimo Allison,GB,cbssports.com,WR,0,0,0,0,0,590.0,2.5,0,0,2.0
Adam Humphries,TB,cbssports.com,WR,0,0,0,0,0,574.0,2.2,0,0,1.0
Cole Beasley,DAL,cbssports.com,WR,0,0,0,0,0,441.0,4.1,0,0,0.3
Kendall Wright,MIN,cbssports.com,WR,0,0,0,0,0,575.0,1.7,0,0,0.3
Albert Wilson,MIA,cbssports.com,WR,0,0,0,0,0,499.0,2.3,0,0,0.3
Chris Conley,KC,cbssports.com,WR,0,0,0,0,0,549.0,1.9,0,0,0.2
Tre'Quan Smith,NO,cbssports.com,WR,0,0,0,0,0,489.0,2.8,0,0,0.6
Chris Godwin,TB,cbssports.com,WR,0,0,0,0,0,560.0,1.4,0,0,0.4
John Brown,BAL,cbssports.com,WR,0,0,0,0,0,452.0,3.0,0,0,0.2
Mike Williams,LAC,cbssports.com,WR,0,0,0,0,0,492.0,2.5,0,0,0.3
Tavon Austin,DAL,cbssports.com,WR,0,0,0,0,0,260.0,1.6,0,0,2.7
T.J. Jones,DET,cbssports.com,WR,0,0,0,0,0,524.0,1.9,0,0,0.4
Michael Gallup,DAL,cbssports.com,WR,0,0,0,0,0,446.0,3.0,0,0,0.6
Zay Jones,BUF,cbssports.com,WR,0,0,0,0,0,461.0,2.8,0,0,0.2
Anthony Miller,CHI,cbssports.com,WR,0,0,0,0,0,472.0,2.0,0,0,0.6
Bennie Fowler,CHI,cbssports.com,WR,0,0,0,0,0,403.0,3.0,0,0,0.3
Trent Taylor,SF,cbssports.com,WR,0,0,0,0,0,444.0,2.8,0,0,2.3
Courtland Sutton,DEN,cbssports.com,WR,0,0,0,0,0,437.0,2.2,0,0,0.8
Taylor Gabriel,CHI,cbssports.com,WR,0,0,0,0,0,435.0,1.5,0,0,0.3
D.J. Chark,JAC,cbssports.com,WR,0,0,0,0,0,395.0,2.5,0,0,0.6
Keelan Cole,JAC,cbssports.com,WR,0,0,0,0,0,461.0,2.0,0,0,1.3
Keke Coutee,HOU,cbssports.com,WR,0,0,0,0,0,400.0,2.3,0,0,0.7
Chad Williams,ARI,cbssports.com,WR,0,0,0,0,0,406.0,1.6,0,0,0.4
Antonio Callaway,CLE,cbssports.com,WR,0,0,0,0,0,441.0,1.6,0,0,0.8
Corey Coleman,CLE,cbssports.com,WR,0,0,0,0,0,382.0,2.3,0,0,0.4
Brian Quick,WAS,cbssports.com,WR,0,0,0,0,0,417.0,1.6,0,0,0.5
James Washington,PIT,cbssports.com,WR,0,0,0,0,0,368.0,2.1,0,0,0.5
Curtis Samuel,CAR,cbssports.com,WR,0,0,0,0,0,324.0,1.9,0,0,0.3
Chris Moore,BAL,cbssports.com,WR,0,0,0,0,0,306.0,2.9,0,0,0.2
Laquon Treadwell,MIN,cbssports.com,WR,0,0,0,0,0,366.0,1.9,0,0,0.3
Christian Kirk,ARI,cbssports.com,WR,0,0,0,0,0,374.0,1.5,0,0,0.6
Bruce Ellington,HOU,cbssports.com,WR,0,0,0,0,0,367.0,1.6,0,0,0.4
Dante Pettis,SF,cbssports.com,WR,0,0,0,0,0,354.0,1.6,0,0,0.7
Seth Roberts,OAK,cbssports.com,WR,0,0,0,0,0,374.0,1.5,0,0,1.2
Taywan Taylor,TEN,cbssports.com,WR,0,0,0,0,0,322.0,1.7,0,0,0.3
Cody Latimer,NYG,cbssports.com,WR,0,0,0,0,0,349.0,1.6,0,0,0.3
Andre Holmes,BUF,cbssports.com,WR,0,0,0,0,0,246.0,3.1,0,0,0.2
Mack Hollins,PHI,cbssports.com,WR,0,0,0,0,0,311.0,2.1,0,0,0.4
Jakeem Grant,MIA,cbssports.com,WR,0,0,0,0,0,311.0,2.2,0,0,2.3
Kevin White,CHI,cbssports.com,WR,0,0,0,0,0,326.0,1.2,0,0,0.4
Josh Reynolds,LAR,cbssports.com,WR,0,0,0,0,0,296.0,1.9,0,0,0.5
Kenny Britt,NE,cbssports.com,WR,0,0,0,0,0,263.0,2.3,0,0,0.4
Torrey Smith,CAR,cbssports.com,WR,0,0,0,0,0,313.0,1.3,0,0,0.3
Willie Snead,BAL,cbssports.com,WR,0,0,0,0,0,317.0,1.4,0,0,1.0
Aldrick Robinson,SF,cbssports.com,WR,0,0,0,0,0,275.0,1.6,0,0,0.4
Roger Lewis,NYG,cbssports.com,WR,0,0,0,0,0,290.0,1.3,0,0,0.3
John Ross,CIN,cbssports.com,WR,0,0,0,0,0,268.0,1.3,0,0,1.0
Justin Hardy,ATL,cbssports.com,WR,0,0,0,0,0,194.0,2.1,0,0,0.3
Tyler Boyd,CIN,cbssports.com,WR,0,0,0,0,0,230.0,0.9,0,0,0.5
Jeremy Kerley,BUF,cbssports.com,WR,0,0,0,0,0,270.0,0.9,0,0,1.9
Pharoh Cooper,LAR,cbssports.com,WR,0,0,0,0,0,237.0,1.5,0,0,2.7
Tavarres King,MIN,cbssports.com,WR,0,0,0,0,0,147.0,1.8,0,0,0.1
J'Mon Moore,GB,cbssports.com,WR,0,0,0,0,0,172.0,1.1,0,0,0.5
Justin Hunter,PIT,cbssports.com,WR,0,0,0,0,0,58.0,2.2,0,0,0.1
DaeSean Hamilton,DEN,cbssports.com,WR,0,0,0,0,0,182.0,0.9,0,0,0.8
Eric Decker,TEN,cbssports.com,WR,0,0,0,0,0,163.0,0.9,0,0,0.1
Brandon Marshall,SEA,cbssports.com,WR,0,0,0,0,0,165.0,0.9,0,0,0.1
Eli Rogers,PIT,cbssports.com,WR,0,0,0,0,0,190.0,1.0,0,0,2.0
Dontrelle Inman,CHI,cbssports.com,WR,0,0,0,0,0,164.0,0.6,0,0,0.1
Hunter Sharp,NYG,cbssports.com,WR,0,0,0,0,0,79.0,1.6,0,0,0.1
Deonte Thompson,DAL,cbssports.com,WR,0,0,0,0,0,154.0,0.9,0,0,0.1
Breshad Perriman,BAL,cbssports.com,WR,0,0,0,0,0,155.0,0.7,0,0,0.2
Braxton Miller,HOU,cbssports.com,WR,0,0,0,0,0,138.0,0.9,0,0,0.4
Damiere Byrd,CAR,cbssports.com,WR,0,0,0,0,0,71.0,1.1,0,0,0.1
Rashard Higgins,CLE,cbssports.com,WR,0,0,0,0,0,114.0,0.8,0,0,0.3
