NAME,SITE,SACK,INTERCEPTIONS,FUM_REC,SAFETIES,TD,TWO_PT_RETURN,RET_TD,PTS_ALLOW
Jacksonville Jaguars,ESPN.com,45.7,16.6,8.9,0,3.0,0,0,0
Philadelphia Eagles,ESPN.com,38.9,14.8,8.9,0,2.8,0,0,0
Los Angeles Rams,ESPN.com,40.3,13.8,8.8,0,2.5,0,0,0
New England Patriots,ESPN.com,43.2,14.5,6.2,0,2.3,0,0,0
Baltimore Ravens,ESPN.com,36.6,14.1,9.3,0,2.8,0,0,0
Minnesota Vikings,ESPN.com,44.3,12.8,7.3,0,2.3,0,0,0
Houston Texans,ESPN.com,44.7,11.2,8.2,0,2.4,0,0,0
Los Angeles Chargers,ESPN.com,39,13.4,7.7,0,2.6,0,0,0
Denver Broncos,ESPN.com,40.3,12.5,8,0,2.5,0,0,0
Tennessee Titans,ESPN.com,40.4,12.5,6.9,0,2.2,0,0,0
Arizona Cardinals,ESPN.com,38.7,8.7,11.6,0,2.5,0,0,0
Carolina Panthers,ESPN.com,41.9,13.7,9.9,0,2.9,0,0,0
Detroit Lions,ESPN.com,36.9,14.5,7.8,0,2.5,0,0,0
Pittsburgh Steelers,ESPN.com,38.7,9.9,7,0,1.9,0,0,0
Washington Redskins,ESPN.com,40,13.2,8.6,0,2.6,0,0,0
Chicago Bears,ESPN.com,37.9,9.1,6.5,0,1.7,0,0,0
Miami Dolphins,ESPN.com,37.3,12.8,8.2,0,2.5,0,0,0
Dallas Cowboys,ESPN.com,35,12.4,9.6,0,2.7,0,0,0
Buffalo Bills,ESPN.com,30.4,16.4,7.3,0,2.7,0,0,0
New Orleans Saints,ESPN.com,34.9,14.9,7.8,0,2.5,0,0,0
Green Bay Packers,ESPN.com,45.9,11.5,6.5,0,2.0,0,0,0
Tampa Bay Buccaneers,ESPN.com,28.3,14.7,9.4,0,2.8,0,0,0
Atlanta Falcons,ESPN.com,34.5,11.4,9.5,0,2.5,0,0,0
Kansas City Chiefs,ESPN.com,34.7,12.3,7.8,0,2.3,0,0,0
Oakland Raiders,ESPN.com,29.9,12.1,9.1,0,2.6,0,0,0
Seattle Seahawks,ESPN.com,33.6,11.6,7.8,0,2.3,0,0,0
Cleveland Browns,ESPN.com,33.8,11.8,8,0,2.2,0,0,0
Cincinnati Bengals,ESPN.com,37.2,12.4,6,0,2.1,0,0,0
New York Giants,ESPN.com,26.8,11.8,8.7,0,2.4,0,0,0
Indianapolis Colts,ESPN.com,29.6,11.3,7,0,2.2,0,0,0
New York Jets,ESPN.com,29.6,9.8,7.2,0,1.9,0,0,0
San Francisco 49ers,ESPN.com,26.4,11.3,7.3,0,2.1,0,0,0
