NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Le'Veon Bell,PIT,ESPN.com,RB,0,0,0,1319.4,10,635,3,0,0,0
Todd Gurley II,LAR,ESPN.com,RB,0,0,0,1274.4,10.4,594.8,2.6,0,0,0
David Johnson,ARI,ESPN.com,RB,0,0,0,1087.2,8.3,739.4,2.9,0,0,0
Antonio Brown,PIT,ESPN.com,WR,0,0,0,0,0,1575.6,8.6,0,0,0
Tom Brady,NE,ESPN.com,QB,4728.8,33.1,7.9,30,2,0,0,0,0,0
Aaron Rodgers,GB,ESPN.com,QB,4024,33.5,9.3,308.8,1.7,0,0,0,0,0
Cam Newton,CAR,ESPN.com,QB,3761.1,22.3,14.1,627,5.9,0,0,0,0,0
Carson Wentz,PHI,ESPN.com,QB,4148,29.7,12,272.4,2.7,0,0,0,0,0
Russell Wilson,SEA,ESPN.com,QB,3826.4,27,10.6,484.4,2.5,0,0,0,0,0
Ezekiel Elliott,DAL,ESPN.com,RB,0,0,0,1403.6,11.2,370.4,1.2,0,0,0
Alvin Kamara,NO,ESPN.com,RB,0,0,0,842.6,7.8,716.5,2.8,0,0,0
Andrew Luck,IND,ESPN.com,QB,4294,28.9,15.9,284.7,1.6,0,0,0,0,0
Julio Jones,ATL,ESPN.com,WR,0,0,0,12.4,0.1,1485.5,7.5,0,0,0
Saquon Barkley,NYG,ESPN.com,RB,0,0,0,1132.7,7.4,533.3,2.6,0,0,0
DeAndre Hopkins,HOU,ESPN.com,WR,0,0,0,0,0,1325.5,9.5,0,0,0
Alex Smith,WSH,ESPN.com,QB,4142.1,24,7.9,300.5,1.6,0,0,0,0,0
Deshaun Watson,HOU,ESPN.com,QB,3721.8,26.8,16.7,443.9,2.7,0,0,0,0,0
Keenan Allen,LAC,ESPN.com,WR,0,0,0,12.7,0,1306.9,7.7,0,0,0
Matthew Stafford,DET,ESPN.com,QB,4392.4,27.5,10.8,104.1,1,0,0,0,0,0
Odell Beckham Jr.,NYG,ESPN.com,WR,0,0,0,20.6,0.1,1300,7.7,0,0,0
Kirk Cousins,MIN,ESPN.com,QB,4327.7,27.3,14.2,135.6,2,0,0,0,0,0
Michael Thomas,NO,ESPN.com,WR,0,0,0,0,0,1263.1,8.5,0,0,0
Ben Roethlisberger,PIT,ESPN.com,QB,4534.3,28.8,14.6,57.9,0.8,0,0,0,0,0
Drew Brees,NO,ESPN.com,QB,4404.7,27.8,12.4,31.2,1.5,0,0,0,0,0
Patrick Mahomes,KC,ESPN.com,QB,4117.8,22.3,15.1,344,3.3,0,0,0,0,0
Philip Rivers,LAC,ESPN.com,QB,4335.6,28.4,11.5,49.4,0.4,0,0,0,0,0
Matt Ryan,ATL,ESPN.com,QB,4307.4,25.7,10.3,107.6,0.9,0,0,0,0,0
Marcus Mariota,TEN,ESPN.com,QB,3776.6,23.7,13.4,365.7,2.6,0,0,0,0,0
A.J. Green,CIN,ESPN.com,WR,0,0,0,0,0,1296.6,7.9,0,0,0
Dalvin Cook,MIN,ESPN.com,RB,0,0,0,1107.7,6.7,500.3,2.1,0,0,0
Mitchell Trubisky,CHI,ESPN.com,QB,3949.4,23,12.9,280,2.3,0,0,0,0,0
Jimmy Garoppolo,SF,ESPN.com,QB,4353.7,23.7,12.8,107.4,1.9,0,0,0,0,0
Melvin Gordon,LAC,ESPN.com,RB,0,0,0,1024.1,6.1,502.1,2.2,0,0,0
Kareem Hunt,KC,ESPN.com,RB,0,0,0,998.7,8,450.4,1.9,0,0,0
Jared Goff,LAR,ESPN.com,QB,4046.5,25.6,10.1,105.9,1.2,0,0,0,0,0
Leonard Fournette,JAX,ESPN.com,RB,0,0,0,1202.2,10.1,328.9,1,0,0,0
Andy Dalton,CIN,ESPN.com,QB,4009.1,23.9,11.3,154.2,1.4,0,0,0,0,0
Ryan Tannehill,MIA,ESPN.com,QB,4149.8,22.7,14,186.1,1.4,0,0,0,0,0
LeSean McCoy,BUF,ESPN.com,RB,0,0,0,1098,6,437.4,1.5,0,0,0
Christian McCaffrey,CAR,ESPN.com,RB,0,0,0,634.6,4,687.4,3.1,0,0,0
Davante Adams,GB,ESPN.com,WR,0,0,0,0,0,1086.8,9.7,0,0,0
Dak Prescott,DAL,ESPN.com,QB,3697.3,20.9,13,306.1,3.1,0,0,0,0,0
Blake Bortles,JAX,ESPN.com,QB,3725,20,12.1,332.7,2.5,0,0,0,0,0
Case Keenum,DEN,ESPN.com,QB,4091.9,22.3,12.2,144.1,1.2,0,0,0,0,0
Adam Thielen,MIN,ESPN.com,WR,0,0,0,12.9,0,1192,7,0,0,0
T.Y. Hilton,IND,ESPN.com,WR,0,0,0,0,0,1248.9,7.2,0,0,0
Larry Fitzgerald,ARI,ESPN.com,WR,0,0,0,0,0,1054.5,5.3,0,0,0
Derek Carr,OAK,ESPN.com,QB,3962.8,23.6,12.1,88.7,0.8,0,0,0,0,0
Eli Manning,NYG,ESPN.com,QB,4106.8,25.6,14.9,27.1,0.3,0,0,0,0,0
Rob Gronkowski,NE,ESPN.com,TE,0,0,0,0,0,1123.6,8.8,0,0,0
Demaryius Thomas,DEN,ESPN.com,WR,0,0,0,0,0,1064,6.4,0,0,0
Jameis Winston,TB,ESPN.com,QB,3595.1,22.9,11.6,160.6,1.1,0,0,0,0,0
Mike Evans,TB,ESPN.com,WR,0,0,0,0,0,1057.5,8.5,0,0,0
Doug Baldwin,SEA,ESPN.com,WR,0,0,0,21.4,0.1,1066.9,6.7,0,0,0
Devonta Freeman,ATL,ESPN.com,RB,0,0,0,938.9,8.2,360.1,1.8,0,0,0
Tyreek Hill,KC,ESPN.com,WR,0,0,0,122.7,0.6,1034.4,4.8,0,0,0
Jerick McKinnon,SF,ESPN.com,RB,0,0,0,876.1,6.6,407.1,1.4,0,0,0
Stefon Diggs,MIN,ESPN.com,WR,0,0,0,47.2,0.2,1044.7,6,0,0,0
Tyrod Taylor,CLE,ESPN.com,QB,2764.4,17.7,5.8,384.1,2.6,0,0,0,0,0
Allen Robinson,CHI,ESPN.com,WR,0,0,0,0,0,1048.5,7.2,0,0,0
Josh Gordon,CLE,ESPN.com,WR,0,0,0,11.7,0,1083.7,6.8,0,0,0
Travis Kelce,KC,ESPN.com,TE,0,0,0,7.2,0.1,1006.4,5.7,0,0,0
Golden Tate,DET,ESPN.com,WR,0,0,0,28.2,0.1,989.9,4.2,0,0,0
JuJu Smith-Schuster,PIT,ESPN.com,WR,0,0,0,0,0,995.6,6.4,0,0,0
Alshon Jeffery,PHI,ESPN.com,WR,0,0,0,0,0,971.2,8.2,0,0,0
Zach Ertz,PHI,ESPN.com,TE,0,0,0,0,0,883.8,7,0,0,0
Amari Cooper,OAK,ESPN.com,WR,0,0,0,12.2,0,1007,5.6,0,0,0
Jarvis Landry,CLE,ESPN.com,WR,0,0,0,10.3,0,896.7,5,0,0,0
Joe Mixon,CIN,ESPN.com,RB,0,0,0,891.9,5.9,353.3,1.1,0,0,0
Joe Flacco,BAL,ESPN.com,QB,3528.4,18.3,11.4,46,1.2,0,0,0,0,0
Jordan Howard,CHI,ESPN.com,RB,0,0,0,1022.9,7,231,0.9,0,0,0
Kenyan Drake,MIA,ESPN.com,RB,0,0,0,848.4,5.6,323.3,1.2,0,0,0
Pierre Garcon,SF,ESPN.com,WR,0,0,0,0,0,980,4.5,0,0,0
Emmanuel Sanders,DEN,ESPN.com,WR,0,0,0,0,0,950.3,5.3,0,0,0
