NAME,SITE,SACK,INTERCEPTIONS,FUM_REC,SAFETIES,TD,TWO_PT_RETURN,RET_TD,PTS_ALLOW
Minnesota Vikings,NFL.com,40.96,17.02,10.25,0.73,2.2,0,0.52,339.15
Jacksonville Jaguars,NFL.com,39.98,16.64,11.25,0.59,1.98,0,0.5,312.82
Denver Broncos,NFL.com,36.84,16.37,10.53,0.79,2.36,0,0.5,334.54
Miami Dolphins,NFL.com,40.94,15.25,10.16,0.55,2.07,0,0.55,354.44
Green Bay Packers,NFL.com,42.31,15.32,10.28,0.56,1.74,0,0.55,380.94
New England Patriots,NFL.com,40.1,15.46,11.03,0.66,1.78,0,0.5,333.8
Arizona Cardinals,NFL.com,40.47,15.53,9.93,0.58,1.96,0,0.55,355.99
Buffalo Bills,NFL.com,37.07,16.63,10.37,0.53,1.81,0,0.54,368.94
Los Angeles Rams,NFL.com,36.99,16.58,9.64,0.54,2.04,0,0.52,317.91
Los Angeles Chargers,NFL.com,36.85,15.8,10.15,0.53,1.97,0,0.52,363.52
Cincinnati Bengals,NFL.com,31.88,16.76,11.5,0.73,1.82,0,0.64,354.34
Carolina Panthers,NFL.com,37.55,15.14,10.21,0.66,1.95,0,0.55,302.85
Dallas Cowboys,NFL.com,38.57,15.03,10.77,0.56,1.61,0,0.6,339.13
Philadelphia Eagles,NFL.com,35.83,16.32,9.97,0.62,1.94,0,0.5,340.3
New York Jets,NFL.com,37.01,15.29,9.96,0.61,1.97,0,0.51,350.96
Baltimore Ravens,NFL.com,33.46,16.35,10.11,0.62,2.12,0,0.5,339.41
Chicago Bears,NFL.com,37.52,15.41,9.83,0.54,1.79,0,0.53,347.65
Houston Texans,NFL.com,36.45,15.29,10.01,0.53,1.9,0,0.49,349.91
Detroit Lions,NFL.com,37.66,14.84,10.31,0.55,1.64,0,0.53,382.21
Seattle Seahawks,NFL.com,36.04,15.37,9.86,0.54,1.81,0,0.55,334.13
New York Giants,NFL.com,34.4,16.03,9.92,0.58,1.87,0,0.5,361.61
Pittsburgh Steelers,NFL.com,36.43,14.73,10.34,0.56,1.7,0,0.52,342.6
Oakland Raiders,NFL.com,36.63,14.87,10.17,0.53,1.6,0,0.5,353.04
Tennessee Titans,NFL.com,36.63,14.53,10.43,0.65,1.53,0,0.48,320.56
Washington Redskins,NFL.com,35.81,15.13,9.99,0.57,1.55,0,0.51,349.08
Atlanta Falcons,NFL.com,33.06,15.63,10.37,0.55,1.74,0,0.48,345.64
Cleveland Browns,NFL.com,32.47,14.34,11.83,0.55,1.68,0,0.48,357.18
New Orleans Saints,NFL.com,33.55,15.25,9.77,0.62,1.79,0,0.54,337.27
Indianapolis Colts,NFL.com,34.81,14.46,10.83,0.53,1.56,0,0.49,343.81
San Francisco 49ers,NFL.com,34.24,14,11.12,0.55,1.49,0,0.5,360.1
Tampa Bay Buccaneers,NFL.com,32.85,14.97,10.03,0.62,1.69,0,0.51,360.78
Kansas City Chiefs,NFL.com,32.99,15.02,9.85,0.54,1.47,0,0.53,354.06
