NAME,TEAM,SITE,PAT,TEENS,TWENTIES,THIRTIES,FORTIES,FIFTIES
Stephen Gostkowski,NE,NFL.com,50.53,2.02,10.03,8.14,6.47,0
Wil Lutz,NO,NFL.com,47.75,2.79,9.75,8.37,6.5,0
Kai Forbath,MIN,NFL.com,43.74,1.27,9.49,9.69,7.53,0
Mason Crosby,GB,NFL.com,44.46,1.42,8.9,9.79,6.98,0
Jake Elliott,PHI,NFL.com,43.77,1.04,10.11,8.05,6.76,0
Chris Boswell,PIT,NFL.com,44.88,1.06,9.28,8.25,6.99,0
Matt Bryant,ATL,NFL.com,44.76,1.07,9.58,7.74,6.98,0
Josh Lambo,JAX,NFL.com,37.44,1.08,9.85,8.21,7.87,0
Roberto Aguayo,LAC,NFL.com,41.93,1.27,9.25,8.41,6.52,0
Sam Ficken,LA,NFL.com,42.55,1.17,8.89,8.11,6.95,0
Robbie Gould,SF,NFL.com,37.93,1.19,8.12,9.12,7.85,0
Justin Tucker,BAL,NFL.com,36.46,1.15,8.44,8.28,8.47,0
Chandler Catanzaro,TB,NFL.com,37.45,1.22,9.11,7.89,7.52,0
Phil Dawson,ARI,NFL.com,35.71,1.68,8.18,8.16,8.07,0
Matt Prater,DET,NFL.com,37.75,1.17,8.4,8.04,7.79,0
Graham Gano,CAR,NFL.com,33.87,1.5,9.14,8.25,7.78,0
Jason Sanders,MIA,NFL.com,36.09,1.31,8.77,8.03,7.72,0
Dustin Hopkins,WAS,NFL.com,39,1.96,8.57,7.49,6.83,0
Sebastian Janikowski,SEA,NFL.com,36.37,1.12,8.36,8.32,7.55,0
Giorgio Tavecchio,OAK,NFL.com,37.8,1.14,8.69,7.95,6.89,0
Brandon McManus,DEN,NFL.com,34,1.53,8.49,8.19,7.68,0
Randy Bullock,CIN,NFL.com,35.08,1.15,8.51,8.21,7.46,0
Harrison Butker,KC,NFL.com,34.23,1.12,9.02,8.1,7.28,0
Ryan Succop,TEN,NFL.com,36.82,1.09,8.04,7.73,7.67,0
Dan Bailey,DAL,NFL.com,34.44,1.56,7.82,8.4,7.54,0
Aldrick Rosas,NYG,NFL.com,34.07,1.04,8.6,7.96,7.61,0
Adam Vinatieri,IND,NFL.com,35.3,1.22,7.5,8.01,7.92,0
Cairo Santos,NYJ,NFL.com,31.44,1.11,8.2,8.14,8.34,0
Zane Gonzalez,CLE,NFL.com,29.42,1.98,7.98,8.73,7.74,0
Cody Parkey,CHI,NFL.com,31.13,1.09,8.42,8.24,7.55,0
Ka'imi Fairbairn,HOU,NFL.com,32.12,1.04,8.52,7.82,7.54,0
Stephen Hauschka,BUF,NFL.com,27.63,1.12,8.24,7.64,8.15,0
Mike Badgley,IND,NFL.com,0,0,0,0,0,0
Taylor Bertolet,NYJ,NFL.com,0,0,0,0,0,0
Jon Brown,CIN,NFL.com,0,0,0,0,0,0
Daniel Carlson,MIN,NFL.com,0,0,0,0,0,0
Garrett Hartley,NFL,NFL.com,0,0,0,0,0,0
Marshall Koehn,NYG,NFL.com,0,0,0,0,0,0
Younghoe Koo,NFL,NFL.com,0,0,0,0,0,0
Brett Maher,DAL,NFL.com,0,0,0,0,0,0
David Marvin,ATL,NFL.com,0,0,0,0,0,0
Matt McCrane,ARI,NFL.com,0,0,0,0,0,0
Trevor Moore,TB,NFL.com,0,0,0,0,0,0
Jason Myers,SEA,NFL.com,0,0,0,0,0,0
Eddy Pineiro,OAK,NFL.com,0,0,0,0,0,0
Nick Rose,NFL,NFL.com,0,0,0,0,0,0
Caleb Sturgis,LAC,NFL.com,0,0,0,0,0,0
Blair Walsh,NFL,NFL.com,0,0,0,0,0,0
Greg Zuerlein,LA,NFL.com,0,0,0,0,0,0
