NAME,SACK,INTERCEPTIONS,FUM_REC,SAFETIES,TD,TWO_PT_RETURN,RET_TD,PTS_ALLOW
New Orleans Saints,42,20,5,0,4,0,1,314
Pittsburgh Steelers,56,16,6,1,1,0,1,296
New England Patriots,42,12,6,2,0,0,1,278
Tampa Bay Buccaneers,22,13,13,0,4,0,0,376
Philadelphia Eagles,38,19,12,0,5,0,0,283
Atlanta Falcons,39,8,8,0,2,0,0,303
Cleveland Browns,34,7,6,0,1,0,0,384
Cincinnati Bengals,41,11,3,0,3,0,0,343
Los Angeles Chargers,43,18,9,0,3,0,1,262
Oakland Raiders,31,5,9,0,0,0,0,343
Buffalo Bills,27,18,7,0,3,0,0,347
New York Giants,27,13,6,1,2,0,0,382
Detroit Lions,35,19,13,0,5,0,2,346
Chicago Bears,42,8,14,1,3,0,2,306
Carolina Panthers,50,10,11,0,1,0,2,315
San Francisco 49ers,30,10,10,0,1,0,0,375
Washington Redskins,42,16,7,0,2,0,0,362
Seattle Seahawks,39,14,11,2,4,0,1,322
Arizona Cardinals,37,15,6,0,2,0,0,335
Houston Texans,32,11,5,1,4,0,0,416
Tennessee Titans,43,12,9,0,1,0,0,332
Jacksonville Jaguars,55,21,12,0,7,1,1,262
Los Angeles Rams,48,18,10,2,5,0,1,317
Indianapolis Colts,25,13,7,2,1,0,0,366
Miami Dolphins,30,9,6,2,3,0,0,370
New York Jets,28,11,9,0,0,0,0,368
Baltimore Ravens,41,22,12,0,5,0,2,291
Kansas City Chiefs,31,16,10,0,3,0,1,331
Denver Broncos,33,10,7,0,4,0,0,354
Green Bay Packers,37,11,11,0,2,0,0,372
Minnesota Vikings,37,14,5,1,1,0,0,250
Dallas Cowboys,38,10,11,0,1,0,1,302
