NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Deshaun Watson,HOU,NFL.com,QB,4059.47,34.41,14.09,437.16,4.09,0,0,0,0.45,3.4
Aaron Rodgers,GB,NFL.com,QB,4305.12,33.78,9.1,275.91,2.09,0,0,0,1.82,3.61
Tom Brady,NE,NFL.com,QB,4883.96,32.04,7.94,71.89,0.64,0,0,0,1.02,3.25
Russell Wilson,SEA,NFL.com,QB,4077.32,26.23,13.19,495.02,3.2,0,0,0,1.3,3.51
Andrew Luck,IND,NFL.com,QB,4218.55,28.29,14.3,316.88,2.68,0,0,0,1.07,3.66
Drew Brees,NO,NFL.com,QB,4769.28,30.03,13.47,94.07,0.94,0,0,0,0.51,3.16
Ben Roethlisberger,PIT,NFL.com,QB,4640.51,30.8,14.52,116.09,0.91,0,0,0,1.16,3.39
Jimmy Garoppolo,SF,NFL.com,QB,4405.5,25.92,9.77,191.84,1.82,0,0,0,0.38,3.4
Todd Gurley,LA,NFL.com,RB,0,0,0,1272.98,11.04,697.12,4.18,0,0.09,2.32
Cam Newton,CAR,NFL.com,QB,3504.25,20.62,14.02,615.66,4.96,0,0,0,0.33,3.4
Philip Rivers,LAC,NFL.com,QB,4394.14,30.86,13.28,75.08,0.64,0,0,0,0.8,3.22
Alex Smith,WAS,NFL.com,QB,3881.24,27.36,8.14,254.83,1.69,0,0,0,0.84,3.33
Matthew Stafford,DET,NFL.com,QB,4101.46,28.79,11.17,127.79,0.99,0,0,0,1.14,3.27
Kirk Cousins,MIN,NFL.com,QB,4123.15,26.45,13.4,194.02,1.93,0,0,0,0.3,3.6
Matt Ryan,ATL,NFL.com,QB,4176.19,26,11.86,151.02,1.16,0,0,0,0.42,3.15
Carson Wentz,PHI,NFL.com,QB,3646.13,24.91,13.18,284.59,2.02,0,0,0,2.18,3.4
David Johnson,ARI,NFL.com,RB,0,0,0,1038.9,9.57,752.45,4.07,0,0.13,2.43
Jared Goff,LA,NFL.com,QB,4025.08,26.59,13.7,138.34,1.17,0,0,0,0.51,3.23
Blake Bortles,JAX,NFL.com,QB,3533.91,21.04,11.32,354.22,2.6,0,0,0,1.18,3.27
Le'Veon Bell,PIT,NFL.com,RB,0,0,0,1143.74,8.5,675.74,3.42,0,0.15,2.1
