name,team,pass_yds,pass_td,int,rush_yds,rush_td,rec_yds,rec_td,fum_td,two_pt,fum_lost
Taquan Mizzell,CHI,0,0,0,0,0,0,0,0,0,0
Taiwan Jones,BUF,0,0,0,0,0,11,0,0,0,0
Frank Gore,MIA,0,0,0,961,3,245,1,0,0,0
Jay Ajayi,PHI,0,0,0,873,1,158,1,0,0,2
James Conner,PIT,0,0,0,144,0,0,0,0,0,0
Charles Sims,TB,0,0,0,95,0,249,1,0,0,1
Jerick McKinnon,SF,0,0,0,570,3,421,2,0,1,2
Trey Williams,DAL,0,0,0,0,0,0,0,0,0,0
Ty Montgomery,GB,0,0,0,273,3,173,1,0,0,0
Jordan Chunn,DAL,0,0,0,0,0,0,0,0,0,0
Senorise Perry,MIA,0,0,0,30,0,3,0,0,0,0
Terrance West,NO,0,0,0,0,0,0,0,0,0,0
Jalston Fowler,SEA,0,0,0,4,1,0,0,0,0,0
C.J. Ham,MIN,0,0,0,13,1,68,0,0,0,0
Andre Ellington,NFL,0,0,0,55,1,369,0,0,0,0
Chase Edmonds,ARI,0,0,0,0,0,0,0,0,0,0
Fozzy Whittaker,CAR IR,0,0,0,18,0,47,1,0,0,0
Terron Ward,NFL,0,0,0,129,0,14,0,0,0,1
De'Veon Smith,NFL,0,0,0,0,0,27,0,0,0,0
Ito Smith,ATL,0,0,0,0,0,0,0,0,0,0
Joel Bouagnon,GB,0,0,0,0,0,0,0,0,0,0
David Williams,DEN,0,0,0,0,0,0,0,0,0,0
Kalen Ballage,MIA,0,0,0,0,0,0,0,0,0,0
Tyler Ervin,HOU,0,0,0,12,0,38,0,0,0,0
Alex Collins,BAL,0,0,0,973,6,187,0,0,0,2
Jarveon Williams,CIN,0,0,0,0,0,0,0,0,0,0
De'Lance Turner,BAL,0,0,0,0,0,0,0,0,0,0
Aaron Jones,GB,0,0,0,448,4,22,0,0,0,0
Theo Riddick,DET,0,0,0,286,3,444,2,0,0,1
Mike Davis,SEA,0,0,0,240,0,131,0,0,0,0
Malcolm Brown,LA,0,0,0,246,1,53,0,0,0,0
Joe Kerridge,GB,0,0,0,0,0,3,0,0,0,0
Darren Sproles,PHI,0,0,0,61,0,73,0,0,0,1
Alfred Morris,NFL,0,0,0,547,1,45,0,0,0,0
Le'Veon Bell,PIT,0,0,0,1291,9,655,2,0,0,2
Gus Edwards,BAL,0,0,0,0,0,0,0,0,0,0
Christine Michael,IND,0,0,0,0,0,0,0,0,0,0
Roc Thomas,MIN,0,0,0,0,0,0,0,0,0,0
Elijah Wellman,WAS,0,0,0,0,0,0,0,0,0,0
Aaron Green,NFL,0,0,0,0,0,0,0,0,0,0
Henry Poggi,NFL,0,0,0,0,0,0,0,0,0,0
Jeremy Hill,NE,0,0,0,116,0,16,0,0,0,0
Tim Cook,JAX,0,0,0,0,0,0,0,0,0,0
Javorius Allen,BAL,0,0,0,591,4,250,2,0,0,0
De'Anthony Thomas,KC,0,0,0,4,0,143,2,0,0,0
Justin Davis,LA,0,0,0,1,0,0,0,0,0,0
Kareem Hunt,KC,0,0,0,1327,8,455,3,0,0,1
Tevin Coleman,ATL,0,0,0,628,5,299,3,0,0,0
Mike Tolbert,NFL,0,0,0,247,1,78,0,0,0,1
Paul Perkins,NYG IR,0,0,0,90,0,46,0,0,0,0
Roosevelt Nix,PIT,0,0,0,0,1,6,1,0,0,0
Kerryon Johnson,DET,0,0,0,0,0,0,0,0,0,0
Ronald Jones,TB,0,0,0,0,0,0,0,0,0,0
Leonard Fournette,JAX,0,0,0,1040,9,302,1,0,0,0
Justin Crawford,ATL,0,0,0,0,0,0,0,0,0,0
Jarvion Franklin,PIT,0,0,0,0,0,0,0,0,0,0
Devontae Booker,DEN,0,0,0,299,1,275,0,0,0,1
